Date,0669.HK,2285.HK
2015-01-01,59.604789354689196,84.68624660937566
2015-01-02,59.98892498905903,87.08095679278792
2015-01-05,58.05661011286871,84.15355629065886
2015-01-06,57.93430407251319,84.87653141209643
2015-01-07,56.07460911293068,87.16483251712914
2015-01-08,55.90413619204141,89.2782428336207
2015-01-09,56.00065040185627,89.50473766951073
2015-01-12,55.565017483849466,88.09574911942693
2015-01-13,55.90823767432391,87.08645093747731
2015-01-14,53.604816714627404,87.05655950152095
2015-01-15,55.03135153042999,88.59701806120279
2015-01-16,56.44354480711994,84.42427905318758
2015-01-19,55.72197974872895,83.20465999486242
2015-01-20,55.576948188254605,83.7427782621349
2015-01-21,55.73777931874636,83.24651120613295
2015-01-22,56.58353547178573,83.47071884273755
2015-01-23,57.255778877588426,82.84796466219127
2015-01-26,58.02130076664038,82.88383563428765
2015-01-27,57.67412961762444,82.44216648786887
2015-01-28,57.39899625570959,83.75931182300089
2015-01-29,58.80410152410439,82.30543776320378
2015-01-30,61.16938102941222,84.5773860756334
2015-02-02,62.78716970509156,85.36636199083188
2015-02-03,61.67611706376984,82.10068169903198
2015-02-04,61.123193465982354,82.77070143487511
2015-02-05,61.223145863700566,81.95225617689121
2015-02-06,61.72214036996433,80.75455169433769
2015-02-09,61.100406707212386,81.24208808006162
2015-02-10,61.792066651629575,80.06814320221171
2015-02-11,60.512552891079,80.53213302041873
2015-02-12,59.90205684170873,80.32778236079943
2015-02-13,58.878595979742926,81.732461951442
2015-02-16,59.88598464685458,81.5327344186638
2015-02-17,59.946133373185546,81.27296954892981
2015-02-18,60.68886169531468,78.84006510607757
2015-02-19,62.31191582558745,77.87976933698879
2015-02-20,61.93354540735823,75.51152666124881
2015-02-23,62.202885440402504,75.28164392923253
2015-02-24,62.68695796082389,74.9778215403397
2015-02-25,63.6370148292058,74.23406845406879
2015-02-26,61.574742793307784,73.97800003993672
2015-02-27,62.71483312284698,74.60683466961872
2015-03-02,62.36789146063011,74.1211927511846
2015-03-03,61.909312116018135,70.22335527105595
2015-03-04,61.183889465660826,69.90763869669844
2015-03-05,60.5120168740282,71.97217072234885
2015-03-06,60.724743317756655,71.18145485854478
2015-03-09,59.787749394007776,70.96968793235838
2015-03-10,58.64991698718695,68.84318448505181
2015-03-11,58.28385784563233,68.50612184375878
2015-03-12,57.02018990285082,67.43164861702584
2015-03-13,56.879401969167844,68.08524324569791
2015-03-16,55.16959599954567,70.03225243158899
2015-03-17,56.0077553935729,68.90807223389244
2015-03-18,56.82856603751616,68.42710835410544
2015-03-19,56.636266140985306,67.38788416779981
2015-03-20,57.78360533033721,69.38599896400423
2015-03-23,57.59444381997948,68.64488128812553
2015-03-24,57.07889721349033,67.90524336779224
2015-03-25,57.472883289757696,68.21338971513752
2015-03-26,59.25848495991942,69.2152689099082
2015-03-27,58.64400691251551,72.10183815148335
2015-03-30,59.52075122263109,71.31517693228047
2015-03-31,60.12501309989179,71.73944610640798
2015-04-01,61.89828807122774,72.03134901430293
2015-04-02,59.95420958437188,73.39360585431928
2015-04-03,58.60997820627726,72.06139106611458
2015-04-06,58.4083036092763,73.20693854539392
2015-04-07,59.49974855943868,73.39019622141957
2015-04-08,61.54515333734528,74.34371866737906
2015-04-09,61.43418856106227,74.94467683396132
2015-04-10,62.126464458129,74.09655356779099
2015-04-13,62.140274039070164,72.04733259044791
2015-04-14,58.98726691287388,72.21068093603444
2015-04-15,59.939874643898314,71.407773964993
2015-04-16,60.06899787719424,71.58431140063759
2015-04-17,59.65225075092602,73.33408055249224
2015-04-20,59.98741336498337,71.75008027301685
2015-04-21,63.13588660850503,69.69612544744707
2015-04-22,63.220327058393785,69.05376972963344
2015-04-23,63.1683389855704,69.16920947020824
2015-04-24,62.14935420926196,68.27629583093416
2015-04-27,63.90355398238415,68.18263126718759
2015-04-28,64.00136564186937,69.56945220422388
2015-04-29,65.30868932443175,71.2710036260941
2015-04-30,64.85023598342646,71.64780045827291
2015-05-01,63.83397634597717,74.58150980273547
2015-05-04,65.06225423766455,77.1767430001382
2015-05-05,63.88535093610858,77.78095198313085
2015-05-06,64.47202196506329,76.65264980321888
2015-05-07,62.4684230340102,74.61698339212826
2015-05-08,61.50586983693577,74.58976283586443
2015-05-11,60.470834746452084,72.40528847687793
2015-05-12,60.35829187807331,73.75445939532601
2015-05-13,58.52873002872357,75.23600795021903
2015-05-14,56.995559759133506,75.270585736226
2015-05-15,58.11068457908751,73.72859420560481
2015-05-18,57.85676540806917,72.99088812276
2015-05-19,58.281944957139096,72.95587048700318
2015-05-20,59.07098622418474,70.45115652404652
2015-05-21,58.43433904449405,72.74811578129298
2015-05-22,60.53788478368243,73.08916181395084
2015-05-25,60.64513606731145,71.09727604203076
2015-05-26,60.425634877018254,68.2976820122388
2015-05-27,58.53239259078066,68.9352600790193
2015-05-28,59.24935682830171,67.5933799020157
2015-05-29,58.78086709119295,69.45628058562562
2015-06-01,56.083712535281016,69.19950550718481
2015-06-02,54.830269882006036,68.77553694831681
2015-06-03,55.519288059704756,69.1745457893892
2015-06-04,57.882510473976325,71.29516625242432
